step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
110,13.72915,65.97949,65.79497,79.52412000000001,6592,-1,-1,6592,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n4),(traefik,n4),(memcached,n10),(traefik,n10),(memcached,n89),(traefik,n89)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n4),(traefik,n4),(memcached,n10),(traefik,n10),(memcached,n89),(traefik,n89)"
111,13.69722,65.95887,66.01016,79.70738,3379,-1,-1,3379,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n11),(nginx,n11),(memcached,n135),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(nginx,n198),(traefik,n19)",,,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n11),(nginx,n11),(memcached,n135),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(nginx,n198),(traefik,n19)"
112,86.02653,65.94216,65.96591,151.99244,8823,-1,-1,8823,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n4),(traefik,n4),(memcached,n17),(traefik,n17),(memcached,n193),(traefik,n193),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(nginx,n27)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n4),(traefik,n4),(memcached,n17),(traefik,n17),(memcached,n193),(traefik,n193),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(nginx,n27)"
113,23.15213,65.93238,65.99572,89.14785,7811,-1,-1,7811,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n17),(nginx,n17),(memcached,n22),(traefik,n22),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(traefik,n21),(traefik,n197)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n17),(nginx,n17),(memcached,n22),(traefik,n22),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(traefik,n21),(traefik,n197)"
114,16.12931,65.6478,65.84752,81.97683,6763,-1,-1,6763,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n11),(traefik,n11),(memcached,n22),(traefik,n22),(memcached,n198),(nginx,n17),(traefik,n89)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n11),(traefik,n11),(memcached,n22),(traefik,n22),(memcached,n198),(nginx,n17),(traefik,n89)"
115,16.98319,66.05401,65.59371,82.5769,7304,-1,-1,7304,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n22),(traefik,n22),(memcached,n136),(traefik,n136),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n22),(traefik,n22),(memcached,n136),(traefik,n136),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195)"
116,15.17726,65.99688,65.77449,80.95175,7043,-1,-1,7043,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n11),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(memcached,n198),(traefik,n22),(traefik,n164)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n11),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(memcached,n198),(traefik,n22),(traefik,n164)"
117,20.52251,65.9751,65.63199,86.1545,7043,-1,-1,7043,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n22),(traefik,n22),(memcached,n131),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(traefik,n135)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n22),(traefik,n22),(memcached,n131),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(traefik,n135)"
118,17.40527,66.02413,65.91918,83.32445,2924,-1,-1,2924,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n22),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(memcached,n198),(traefik,n33),(traefik,n164)",,,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n22),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(memcached,n198),(traefik,n33),(traefik,n164)"
119,17.99116,65.98053,66.06683,84.05798999999999,2924,-1,-1,2924,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n19),(traefik,n19),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195)",,,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n19),(traefik,n19),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195)"
