asp_time,heu_time,asp_cost,heu_cost,asp_placement,heu_placement
6.01543,0.43733,1498,1498,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3)"
5.45235,2.67616,5212,7786,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n112),(traefik,n10),(traefik,n14)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n101),(alpine,n101),(memcached,n101),(nginx,n101),(httpd,n101),(mariadb,n101),(postgres,n101),(busybox,n112),(alpine,n112),(memcached,n112),(traefik,n112),(nginx,n112),(httpd,n112),(mariadb,n112),(postgres,n112),(traefik,n10)"
6.24796,0.98658,4495,5086,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n10),(httpd,n10),(postgres,n10),(traefik,n4)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n80),(alpine,n80),(nginx,n80),(mariadb,n80),(memcached,n39),(httpd,n39),(postgres,n39),(traefik,n4)"
50.37093,1.66491,2984,2996,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n38),(nginx,n43),(mariadb,n35),(traefik,n50),(httpd,n64),(postgres,n68)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n87),(alpine,n87),(memcached,n50),(traefik,n50),(postgres,n50),(nginx,n43),(httpd,n43),(mariadb,n43)"
5.93061,2.95441,5354,7638,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n5),(postgres,n5),(traefik,n20),(traefik,n69)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n91),(alpine,n91),(nginx,n91),(httpd,n91),(mariadb,n91),(busybox,n24),(alpine,n24),(memcached,n24),(traefik,n24),(nginx,n24),(httpd,n24),(mariadb,n24),(postgres,n24),(memcached,n17),(postgres,n17),(traefik,n26)"
51.18522,14.19255,4792,6652,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n10),(memcached,n12),(traefik,n12),(memcached,n21),(nginx,n16),(mariadb,n16),(httpd,n16),(traefik,n17),(traefik,n60),(postgres,n38),(postgres,n97)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n34),(alpine,n34),(busybox,n89),(alpine,n89),(nginx,n89),(httpd,n89),(mariadb,n89),(postgres,n89),(memcached,n12),(traefik,n12),(memcached,n90),(traefik,n26),(nginx,n72),(mariadb,n72),(httpd,n16),(postgres,n71)"
5.51554,0.61179,6140,7490,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(traefik,n15)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n15),(alpine,n15),(memcached,n15),(traefik,n15),(nginx,n15),(httpd,n15),(mariadb,n15),(postgres,n15)"
6.47027,0.61241,1498,1498,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3)"
5.61614,0.48021,1498,1498,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3)"
11.55602,1.16832,9688,10486,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(nginx,n14),(traefik,n14),(postgres,n14),(memcached,n59),(traefik,n59),(postgres,n59),(mariadb,n4),(httpd,n4)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n29),(alpine,n29),(nginx,n29),(httpd,n29),(mariadb,n29),(busybox,n14),(alpine,n14),(memcached,n14),(traefik,n14),(nginx,n14),(httpd,n14),(mariadb,n14),(postgres,n14),(memcached,n59),(traefik,n59),(postgres,n59)"
